Name,Tenacity,Diaphaneity (Transparency),Colour,Hardness(Mohs),Lustre,Streak,Cleavage Quality,Cleavage Direction,Cleavage Angle,Fracture,Morphology,Pleochroism,Type,Crystal System,Surface Relief,Formula,Density
Phlogopite,Flexible,"Transparent,Translucent","Brown,gray,green,yellow,brown","2,2.5","Vitreous,Pearly",White,good,1 direction,indistinct,Micaceous,"Tabular,massive",Visible,Biaxial (-),Monoclinic,Moderate,KMg3(Si3Al)O10(OH)2,2.78 - 2.85 g/cm3 (Measured)  2.79 g/cm3 (Calculated)
Annite,Flexible,"Transparent,Translucent","Black,brown","2.5,3",Vitreous,"brown,white",good,1 direction,indistinct,uneven,"tabular,hexagonal,massive",none,Biaxial (-),Monoclinic,High,KFe32+AlSi3O10(OH)2,3.3 g/cm3 (Measured)  3.36 g/cm3 (Calculated)
Illite,Elastic,Translucent,"white,white,gray","1,2","Waxy,Greasy,Dull,Earthy",White,good,1 direction,indistinct,Micaceous,Micaceous,none,Biaxial (-),monoclinic,Low,"K0.65Al2.0[Al0.65Si3.35O10](OH)2Illite shows a range of compositions (see below). Hydronium may occur in the interlayer region,contribute,charge balance,tetrahedral Al-Si ratios may vary.",2.79 - 2.8 g/cm3 (Measured)  2.61 g/cm3 (Calculated)
Montmorillonite,brittle,Translucent,"White,yellow,green,pink,red","1,2","Dull,Earthy",white,good,1 direction,indistinct,"Irregular,Uneven","scaley,massive",Visible,Biaxial (-),Monoclinic,Low,"(Na,Ca)0.3(Al,Mg)2Si4O10(OH)2 Â· nH2O",2 - 3 g/cm3 (Measured)  
Vermiculite,pliable,translucent,"Brown,yellow","1.5,2","greasy,vitreous","white,yellow,brown",good,1 direction,indistinct,micaceous,"platy,scaley,micaceous",none,Biaxial (-),Monoclinic,Low,"Mg0.7(Mg,Fe3+,Al)6(Si,Al)8O20(OH)4 Â· 8H2OFormula previously given as (Mg,Fe,Al)3((Al,Si)4O10)(OH)2.4H2O.",2.4-2.7
Jadeite,brittle,translucent,"green,white,blue,green,violet,white,black",6,"subvitreous,pearly",white,good,2 directions,90 degrees,splintery,"massive,fibrous,granular,prismatic",none,Biaxial (+),Monoclinic,Moderate,NaAlSi2O6,3.25 - 3.35 g/cm3 (Measured)  
Acmite,Brittle,"Transparent,Opaque","green,black,brown",6,Vitreous,gray,good,2 directions,90 degrees,"Irregular,Uneven","Prismatic,fibrous,radial",Visible,Biaxial (-),Monoclinic,Very High,NaFe3+Si2O6,3.5 - 3.6 g/cm3 (Measured)  3.576 g/cm3 (Calculated)
Ferroactinolite,brittle,"transparent,translucent",green,"5,6",Vitreous,"green,white",good,2 directions,"120 degrees,60 degrees",splintery,"bladed,radial,fibrous",weak,Biaxial (-),Monoclinic,High,â—»Ca2Mg2.5-0Fe2+2.5-5Si8O22(OH)2,3.03-3.24
Cordierite,Brittle,"Transparent,Translucent","gray,violet,brown,colourless,blue","7,7.5",Vitreous,white,Indistinct,indistinct,indistinct,Sub-Conchoidal,"prismatic,granular,massive",Strong,,Orthorhombic,Low,"Mg2Al3(AlSi5)O18Also given as (Mg,Fe)2Al3(AlSi5O18).n(H2O,CO2,Na+,K+);",
Tourmaline,brittle,"transparent,translucent","black,colourless,brown,violet,yellow,orange,blue,red,green,pink",7,"vitreous,resinous",white,Indistinct,indistinct,indistinct,"Irregular,Uneven,Conchoidal","parallel,elongate,acicular,prismatic,massive,radial",none,Uniaxial (-),Trigonal,,"A(D3)G6(T6O18)(BO3)3X3ZA = Ca,Na,K,is vacant (large cations);",2.82-3.32
